,phrase,label,sentiment,subjectivity,language,count
Leipzig.,Leipzig.,LOC,0.09999999999999999,0.0,de,7
Knappes,Knappes,LOC,0.0,0.2857142857142857,de,7
Region Donezk,Region Donezk,LOC,0.0,0.0,de,7
LNG-Terminals,LNG-Terminals,LOC,0.05714285714285713,0.0,de-DE,7
Nordrhein-Westfalen,Nordrhein-Westfalen,LOC,0.34285714285714286,0.2857142857142857,de,7
Länderkammer,Länderkammer,LOC,0.0,0.0,de,7
Blackout,Blackout,LOC,0.19999999999999998,0.2857142857142857,de,7
Warmwasser,Warmwasser,LOC,0.7000000000000001,0.0,de,7
Nordrhein-Westfalens,Nordrhein-Westfalens,LOC,-0.55,0.14285714285714285,de,7
Baden-Württembergs,Baden-Württembergs,LOC,0.3083333333333333,0.16666666666666666,de,7
Schleswig-Holsteins,Schleswig-Holsteins,LOC,0.32142857142857145,0.0,de,7
Bulgarien,Bulgarien,LOC,0.39999999999999997,0.0,de,7
Druschba-Betreiber,Druschba-Betreiber,LOC,-0.09999999999999999,0.0,de,7
Rechnungshof,Rechnungshof,LOC,0.0,0.0,de,6
Winterthur,Winterthur,LOC,0.0,0.16666666666666666,de,6
AKW Saporischschja,AKW Saporischschja,LOC,0.0,0.0,de,6
AKW Emsland,AKW Emsland,LOC,0.2833333333333333,0.0,de,6
Krisenwinter,Krisenwinter,LOC,0.16666666666666666,0.0,de-DE,6
Belgorod,Belgorod,LOC,-0.3333333333333333,0.0,de,6
EU-Gipfels,EU-Gipfels,LOC,-0.05833333333333333,0.08333333333333333,de,6
Bundesverwaltungsgericht,Bundesverwaltungsgericht,LOC,-0.16666666666666666,0.0,de,6
Meeresboden,Meeresboden,LOC,0.0,0.16666666666666666,de,6
St…,St…,LOC,0.0,0.16666666666666666,de,6
Brüsseler,Brüsseler,LOC,0.0,0.0,de,6
Bachmut,Bachmut,LOC,0.0,0.0,de,6
Ukraine-Update am Abend,Ukraine-Update am Abend,LOC,0.05000000000000001,0.0,de,6
Iberischen Halbinsel,Iberischen Halbinsel,LOC,0.7000000000000001,0.0,de,6
Vereinigten Arabischen Emiraten,Vereinigten Arabischen Emiraten,LOC,0.0,0.0,de,6
Estland,Estland,LOC,0.11666666666666665,0.0,de,6
Magdeburg,Magdeburg,LOC,0.2333333333333333,0.0,de,6
Kurses,Kurses,LOC,0.9166666666666666,0.08333333333333333,de,6
Island,Island,LOC,0.0,0.0,de,6
Halle,Halle,LOC,-0.11666666666666665,0.16666666666666666,de-DE,6
Haidach,Haidach,LOC,0.0,0.0,de,6
Cosco,Cosco,LOC,0.11666666666666665,0.0,de,6
Sewastopol,Sewastopol,LOC,0.0,0.0,de,6
Augsburg,Augsburg,LOC,0.32499999999999996,0.0,de,6
Rehden,Rehden,LOC,0.0,0.0,de,6
Münster.,Münster.,LOC,0.0,0.0,de,6
Ländern,Ländern,LOC,0.2333333333333333,0.16666666666666666,de,6
Irkutsk,Irkutsk,LOC,-0.5,0.0,de,6
Ã–sterreich,Ã–sterreich,LOC,0.0,0.0,de,6
Usbekistan,Usbekistan,LOC,-0.3333333333333333,0.5,de,6
Niederlande,Niederlande,LOC,-0.05000000000000001,0.0,de,6
Roten Meer,Roten Meer,LOC,-0.2333333333333333,0.0,de,6
UN-Klimagipfel,UN-Klimagipfel,LOC,0.0,0.16666666666666666,de,6
Nord Stream 1,Nord Stream 1,LOC,0.11666666666666665,0.0,de,6
Scharm el Scheich.,Scharm el Scheich.,LOC,0.0,0.0,de,6
Fracking-Gas,Fracking-Gas,LOC,0.19999999999999998,0.16666666666666666,de,6
Indien,Indien,LOC,0.11666666666666665,0.0,de,6
Indonesien,Indonesien,LOC,0.2333333333333333,0.0,de,6
Kiewer,Kiewer,LOC,-0.225,0.75,de,6
Japans,Japans,LOC,-0.68,0.0,de,5
Brasilien,Brasilien,LOC,0.06000000000000001,0.0,de,5
Republik Moldau,Republik Moldau,LOC,0.0,0.0,de,5
Gemeinde,Gemeinde,LOC,0.2,0.0,de,5
Norwegens,Norwegens,LOC,-0.13999999999999999,0.0,de,5
Stade,Stade,LOC,-0.16999999999999998,0.0,de,5
Vereinigten Arabischen Emirate,Vereinigten Arabischen Emirate,LOC,0.5599999999999999,0.0,de,5
Volksrepublik,Volksrepublik,LOC,0.18666666666666665,0.13333333333333333,de,5
Drohnenangriffen,Drohnenangriffen,LOC,0.0,0.0,de,5
Dnipro,Dnipro,LOC,0.0,0.0,de,5
Dienstagabend.,Dienstagabend.,LOC,0.0,0.0,de,5
ZH,ZH,LOC,0.0,0.0,de,5
Milliardenhöhe,Milliardenhöhe,LOC,-0.13999999999999999,0.0,de,5
Japaner,Japaner,LOC,0.41999999999999993,0.0,de,5
Umweltbundesamt,Umweltbundesamt,LOC,0.2,0.0,de,5
Gas-Lecks,Gas-Lecks,LOC,0.0,0.0,de,5
Spaniens Küste,Spaniens Küste,LOC,-0.06000000000000001,0.0,de,5
Wall Street,Wall Street,LOC,-0.48,0.0,de,5
Kanzler-Machtwort,Kanzler-Machtwort,LOC,0.0,0.0,de,5
Gas-Fracking,Gas-Fracking,LOC,0.0,0.0,de,5
Schwarzen Meer,Schwarzen Meer,LOC,0.13999999999999999,0.0,de,5
Brunsbüttel.,Brunsbüttel.,LOC,0.0,0.0,de,5
Chile,Chile,LOC,0.13999999999999999,0.0,en,5
eO,eO,LOC,0.4,0.0,de,5
Großbritanniens,Großbritanniens,LOC,0.0,0.0,de,5
Gifhorn,Gifhorn,LOC,0.33999999999999997,0.0,de,5
Freiburg,Freiburg,LOC,-0.6,0.0,de,5
Preisbremse,Preisbremse,LOC,-0.2,0.2,de,5
Amerika,Amerika,LOC,0.0,0.0,de,5
Donnerstagmorgen,Donnerstagmorgen,LOC,0.0,0.0,de,5
Stockholm,Stockholm,LOC,0.0,0.0,de,5
Ölpipeline,Ölpipeline,LOC,0.0,0.0,de,5
Schottland,Schottland,LOC,0.2,0.0,de,5
Erding,Erding,LOC,0.0,0.0,de,5
B…,B…,LOC,0.0,0.0,de,5
Hamburger Hafens,Hamburger Hafens,LOC,-0.030000000000000006,0.0,de,5
Landkreisen,Landkreisen,LOC,-0.2,0.0,de,5
Extremwetterereignissen,Extremwetterereignissen,LOC,-0.35,0.0,de,5
Cherson.,Cherson.,LOC,-0.4,0.0,de,5
Sabotage-Verdacht,Sabotage-Verdacht,LOC,0.27999999999999997,0.0,de,5
Doppelwumms,Doppelwumms,LOC,0.2,0.0,de,5
Moldawien,Moldawien,LOC,0.13999999999999999,0.0,de,5
Ukraine:,Ukraine:,LOC,-0.13999999999999999,0.0,de,5
Schwerin,Schwerin,LOC,0.13999999999999999,0.0,,5
Zentralasien,Zentralasien,LOC,0.0,0.2,de,5
New York,New York,LOC,0.16999999999999998,0.0,de,5
Statistische Bundesamt,Statistische Bundesamt,LOC,0.41999999999999993,0.0,de,5
Kernkraftwerk Saporischschja,Kernkraftwerk Saporischschja,LOC,0.0,0.0,de,4
