,summary,Wirtschaft,Russland,Politik,Quelle,Wetter,Gesellschaft,Other,Klimawandel,word
Kieler,5.5776177742031425,-0.11909639665216808,-0.11912457224306497,0.32047195531640904,-0.009585553117512649,-0.25169871057860654,0.042347402080737506,0.808274822499629,-0.16802569312699595,Kieler
spd kiel,5.5776177742031425,-0.11909639665216808,-0.11912457224306497,0.32047195531640904,-0.009585553117512649,-0.25169871057860654,0.042347402080737506,0.808274822499629,-0.16802569312699595,spd kiel
Land…,5.530563582227972,-0.11893749623912278,-0.12021782016605168,0.3183235660083607,-0.009162876177630888,-0.24945085760238325,0.044687920053644234,0.8051225005457662,-0.1664781838629226,Land…
kiel land…,5.530563582227972,-0.11893749623912278,-0.12021782016605168,0.3183235660083607,-0.009162876177630888,-0.24945085760238325,0.044687920053644234,0.8051225005457662,-0.1664781838629226,kiel land…
+1845,5.486022106167043,-0.11877869229880193,-0.12126182742510523,0.31625095839042755,-0.008747179477766763,-0.2472856018452347,0.04687372717939773,0.8021208335003515,-0.16498647734637223,+1845
land… +1845,5.486022106167043,-0.11877869229880193,-0.12126182742510523,0.31625095839042755,-0.008747179477766763,-0.2472856018452347,0.04687372717939773,0.8021208335003515,-0.16498647734637223,land… +1845
+1845 chars,5.449674807971562,-0.11864259877690628,-0.12212014731921605,0.3145310856463441,-0.008396136893195077,-0.24549088965497845,0.0486343713567016,0.7996572320685332,-0.1637491687329956,+1845 chars
Handelsblatt,13.475490137335774,-0.3131362068407458,-0.23333801168714471,0.3251163611210992,-0.059987234135349295,0.46923530522656864,0.28275158891723773,-1.1852013152347685,-0.4516307782257375,Handelsblatt
handelsblatt gefahr,12.254264448244198,-0.2537329900644512,-0.1772086811185526,0.34295276573164674,-0.053600012570180905,0.3253243374536874,0.2867920812576885,-1.0902028199086236,-0.3885502189329695,handelsblatt gefahr
gefahr gasmangellage,18.55637861661782,-0.22451602323864092,-0.11140043404189583,0.3909515698112723,-0.04012350060567771,0.16759934251737638,0.30899845133050274,-1.505142415953967,-0.4003505189226951,gefahr gasmangellage
winter ge+bann+t,10.65784211095189,-0.3597935063907695,-0.3079564926513892,0.22317227567521755,-0.06881249937425557,0.6301761557101694,0.26654386146462195,-0.9506247949030769,-0.46683783892614295,winter ge+bann+t
ge+bann+t bei,9.96587480015438,-0.35188137033772254,-0.30662642142637586,0.22723157232020957,-0.07093720347216537,0.6201393184302844,0.261704631800892,-0.8834955623555287,-0.4515159625166324,ge+bann+t bei
bei kalt,16.64188890289719,-0.5288278830865714,-0.4494526738533812,0.10943044885985578,-0.07528145530010238,0.889174768742142,0.2715637883345456,-1.3962517700227033,-0.6668474390942134,bei kalt
kalt winter,22.25187090455748,-0.6342045765938039,-0.538793624840503,0.004233405483057996,-0.07617021083662273,1.0159380378628566,0.27476498705577124,-1.6867549159483042,-0.7902124266998609,kalt winter
winter droh,22.551532452430756,-0.5849028622566314,-0.4844191944824524,0.05377161945571451,-0.0679195481083938,0.9185031642141598,0.1950694298661947,-0.07020422808102539,-0.746593606818939,winter droh
droh deutschland,16.873545345726424,-0.389278229293649,-0.2965022530212654,0.24907208619923585,-0.058579922908770725,0.6369118501866571,0.28879394802629943,-1.4100758565812417,-0.5423329221252788,droh deutschland
deutschland ende,17.99153437241418,-0.30535289735267573,-0.20065649913902153,0.3335874469476039,-0.047610873563995675,0.42111925427738844,0.3009559778269803,-1.4742301598937892,-0.4717612746948304,deutschland ende
ende februar,19.186010205686685,-0.2793704198139816,-0.16783790128264367,0.3601394635534939,-0.04505025538824973,0.33975808318952194,0.30446082068020786,-1.5385102036026261,-0.4534325125087919,ende februar
februar gasmangellage,31.084677385625362,-0.22458739317543241,-0.07779892742091464,0.4207223310475418,-0.030213359528304874,0.0944218727549777,0.32384770845489863,-2.0210438344821577,-0.4382476134840792,februar gasmangellage
gasmangellage falls,17.602602871913135,-0.25034546276646374,-0.14310248588884672,0.3887868449712345,-0.046654683408955004,0.2518995478344116,0.3015949894932347,-1.4523756068319633,-0.41960511192504385,gasmangellage falls
falls import,15.312616594035065,-0.2612581911671631,-0.16591329136943483,0.377177302724798,-0.05168208764901614,0.3023767788356782,0.2940499392345457,-1.3130059278532495,-0.4171920244682927,falls import
Exporte,13.828004066748646,-0.2677136824689205,-0.18156305500155817,0.3705190073846666,-0.05554522427181773,0.3327845339734539,0.2879189029372106,-1.2110246414275123,-0.4133385572687132,Exporte
Rohstoffs,12.820339686116295,-0.27134696562649524,-0.1922831845096071,0.3669159570108744,-0.05853181516047671,0.35122887004268916,0.282968741408609,-1.1353617729913914,-0.4090167677023814,Rohstoffs
export rohstoff,12.820339686116295,-0.27134696562649524,-0.1922831845096071,0.3669159570108744,-0.05853181516047671,0.35122887004268916,0.282968741408609,-1.1353617729913914,-0.4090167677023814,export rohstoff
rohstoff stark,12.184707419964978,-0.273148681300472,-0.19897588121671406,0.3652242539069879,-0.060606124946629515,0.36154812591266194,0.27942029286509673,-1.08451050056944,-0.4053235702965985,rohstoff stark
verändern,11.863578707595137,-0.27387503248443523,-0.2023129694694585,0.3645850768618563,-0.061719571744609576,0.36628939292740537,0.2774779528442083,-1.0578019193293344,-0.4031153168191112,verändern
stark ver+änder,11.863578707595137,-0.27387503248443523,-0.2023129694694585,0.3645850768618563,-0.061719571744609576,0.36628939292740537,0.2774779528442083,-1.0578019193293344,-0.4031153168191112,stark ver+änder
Papier,13.400625888971518,-0.18613147098590677,-0.09565738386617777,0.2972705560880636,-0.003191081403036173,0.2762405034305188,0.15820657743888836,-1.1796302392712392,-0.3366055236819021,Papier
geh papier,10.750012658021287,-0.2820032043080066,-0.22103149377255588,0.35700121814964086,-0.0661171956419318,0.3995401277741645,0.26965297618143125,-0.9592357573362925,-0.39933041915812195,geh papier
papier bundesnetzagentur,10.496628418243851,-0.2885618941257283,-0.23074507294262758,0.3506602927989139,-0.06735073051849572,0.42040323200908947,0.2674904928103627,-0.9353829278474294,-0.4023380984725689,papier bundesnetzagentur
hervor,10.197243048456631,-0.30273635310649366,-0.24950357910914844,0.3368444735657199,-0.0711910812757816,0.4653825812476694,0.2623756107289375,-0.9064462196614356,-0.41135206026443977,hervor
bundesnetzagentur hervor,10.197243048456631,-0.30273635310649366,-0.24950357910914844,0.3368444735657199,-0.0711910812757816,0.4653825812476694,0.2623756107289375,-0.9064462196614356,-0.41135206026443977,bundesnetzagentur hervor
hervor handelsblatt,7.137140265758844,-0.28748916701643257,-0.27618312858787863,0.27022751972740017,-0.0804948555870697,0.5092002702821724,0.232754235617505,-0.5496409983907299,-0.3490315914592477,hervor handelsblatt
vorliegt,7.4342509399915535,-0.3000736574068888,-0.2848616044529324,0.2602420144966262,-0.07981401108073664,0.5357314088020776,0.2364272635051343,-0.5904266522941505,-0.36597891649271413,vorliegt
handelsblatt vorlieg,7.4342509399915535,-0.3000736574068888,-0.2848616044529324,0.2602420144966262,-0.07981401108073664,0.5357314088020776,0.2364272635051343,-0.5904266522941505,-0.36597891649271413,handelsblatt vorlieg
Darin,7.696559645343379,-0.3117744973392855,-0.2934478164191961,0.25058725413205024,-0.07940203127861019,0.560202164707858,0.23920880214307794,-0.6251022549819937,-0.38116366165341625,Darin
